"","Strain","Temp.","Average"
"1","BRX10.1","11",0.0709612821320158
"2","BRX10.2","11",0.0762098754372409
"3","BRX10.3","11",0.040660914258235
"4","BRX10.4","11",0.100164160589049
"5","BRX10.5","11",0.10572505251686
"6","BRX10.6","11",0.10195224303861
"7","BRX10.7","11",0.128748011526163
"8","BRX10.8","11",0.109628074062745
"9","BRX10.9","11",0.0971344485291341
"10","BRX8.1","11",0.076976004398747
"11","BRX8.3","11",0.0772161245844949
"12","BRX8.6","11",0.0786323110917889
"13","BRX8.7","11",0.080604299159816
"14","BRX8.8","11",0.091445830514907
"15","BRX8.9","11",0.0750492635835798
"16","BRX9.1","11",0.0860504486459523
"17","Bg11-12","11",0.128677449086312
"18","Bg11-28","11",0.0733651835838225
"19","MB3u-28","11",0.0394012548178376
"20","MB3u-4","4",0.0484649786471186
"21","MB3u-43","11",0.0439250359125
"22","MB3u-45","11",0.0537107250656086
"23","MB3u-55","11",0.123355180785388
"24","MB3u-64","-1",0.044157231190193
"25","MB3u-70","11",0.0400688638783598
"26","MB3u-8","11",0.0429774888857901
"27","MBO2u-1","4",0.051846875391133
"28","MBO2u-10","4",0.0598842546162465
"29","MBO2u-11","-1",0.0505993143611932
"30","MBO2u-12","4",0.0721668414249944
"31","MBO2u-14","4",0.0628463286630974
"32","MBO2u-18","11",0.0570622390288689
"33","MBO2u-19","4",0.0525260263150931
"34","MBO2u-7","4",0.0579376552790802
"35","MBO2u-9","4",0.0544462265308202
"36","Mb3u-41","-1",0.0461068722702702
"37","UT-16","17",0.079155593494198
"38","UT-18","17",0.0802845853628953
"39","UT-19","17",0.114844091972582
"40","UT-20","17",0.109349720106341
