"","Strain","Temperature","Average"
"1","BRX10.1",11,0.265861726539288
"2","BRX10.2",17,0.241030807785691
"3","BRX10.4",11,0.475672302378096
"4","BRX10.5",11,0.463957733539383
"5","BRX10.6",11,0.546901167752916
"6","BRX10.8",11,0.488207678850782
"7","BRX10.9",17,0.340423801016363
"8","BRX8.2",11,0.263777810785076
"9","BRX8.4",17,0.455660096209407
"10","BRX8.7",11,0.566606560535351
"11","BRX8.8",17,0.449302638138385
"12","BRX8.9",11,0.388044163471229
"13","BRX9.1",17,0.286773482600787
